审核分类,审核要点,详细说明,风险等级,适用材料类型
主体资格,签约主体资质,检查对方是否具有合法的营业执照、经营资质，是否在经营范围内,高,合同
主体资格,签约授权,检查签约人是否有合法授权，委托书或授权书是否齐全有效,高,合同
主体资格,履约能力,评估对方是否有足够的资金、技术、人员等履约能力,中,合同
权利义务,权利义务对等性,检查双方权利义务是否对等，是否存在明显不公平条款,高,合同
权利义务,我方核心权利保障,检查我方核心权利是否得到明确约定和有效保障,高,合同
权利义务,义务范围明确性,检查我方义务范围是否清晰界定，避免模糊表述,中,合同
权利义务,单方变更条款,检查是否存在对方可单方面变更合同的条款,高,合同
费用条款,价款及支付方式,检查价款是否明确，支付方式、时间、条件是否清晰,中,合同
费用条款,价格调整机制,检查是否有价格调整条款，调整条件是否合理,中,合同
费用条款,费用承担,检查各项费用（税费、运费等）的承担主体是否明确,低,合同
期限条款,合同期限,检查合同期限是否明确，起止时间是否清晰,中,合同
期限条款,续约条件,检查续约条件是否明确，是否存在自动续约风险,中,合同
期限条款,终止条件,检查合同终止条件是否明确，我方是否有合理的退出机制,高,合同
期限条款,提前解除,检查提前解除合同的条件、程序和后果是否明确,中,合同
责任条款,违约责任,检查违约责任是否明确、对等，违约金是否合理,高,合同
责任条款,赔偿范围,检查损害赔偿范围是否明确，是否包含间接损失,中,合同
责任条款,责任限制,检查是否有责任上限条款，上限是否合理,中,合同
责任条款,免责条款,检查免责条款是否合理，是否损害我方利益,高,合同
争议解决,管辖与仲裁,检查争议解决方式是否有利于我方，管辖法院或仲裁机构选择是否合适,中,合同
争议解决,适用法律,检查适用法律是否明确，是否选择对我方有利的法律,中,合同
保密条款,保密范围,检查保密信息范围是否明确，是否包含必要的商业秘密,中,合同
保密条款,保密期限,检查保密期限是否合理，是否与合同期限匹配,低,合同
知识产权,权属归属,检查知识产权归属是否明确，我方权益是否得到保障,高,合同
知识产权,使用授权,检查知识产权使用范围、方式、期限是否明确,中,合同
知识产权,侵权责任,检查知识产权侵权责任是否明确,中,合同
其他条款,不可抗力,检查不可抗力条款是否完善，范围是否合理,低,合同
其他条款,通知送达,检查通知方式、地址是否明确,低,合同
其他条款,合同变更,检查合同变更的条件和程序是否明确,低,合同
